module,pi,theta,karatsuba,length,cycles
mmh,116,3,1,6636,9810
mmh,116,3,1,6748,9973
mmh,116,3,1,6860,10140
mmh,116,3,1,6972,10302
mmh,116,3,1,7084,10469
mmh,116,3,1,7196,10632
mmh,116,3,1,7308,10795
mmh,116,3,1,7420,10962
mmh,116,3,1,7532,11126
mmh,116,3,1,7644,11287
mmh,116,3,1,7756,11454
mmh,116,3,1,7868,11619
mmh,116,3,1,7980,11782
mmh,116,3,1,8092,11946
mmh,116,3,1,8204,12113
mmh,116,3,1,8316,12273
mmh,116,3,1,8428,12441
mmh,116,3,1,8540,12601
mmh,116,3,1,8652,12770
mmh,116,3,1,8764,12930
mmh,116,3,1,8876,13105
mmh,116,3,1,8988,13267
mmh,116,3,1,9100,13434
mmh,116,3,1,9212,13595
mmh,116,3,1,9324,13762
mmh,116,3,1,9436,13925
mmh,116,3,1,9548,14091
mmh,116,3,1,9660,14255
mmh,116,3,1,9772,14418
mmh,116,3,1,9884,14585
mmh,116,3,1,9996,14746
mmh,116,3,1,10108,14913
mmh,116,3,1,10220,15075
mmh,116,3,1,10332,15240
mmh,116,3,1,10444,15404
mmh,116,3,1,10556,15566
mmh,116,3,1,10668,15735
mmh,116,3,1,10780,15901
mmh,116,3,1,10892,16065
mmh,116,3,1,11004,16229
mmh,116,3,1,11116,16388
mmh,116,3,1,11228,16557
mmh,116,3,1,11340,16718
mmh,116,3,1,11452,16886
mmh,116,3,1,11564,17051
mmh,116,3,1,11676,17216
mmh,116,3,1,11788,17376
mmh,116,3,1,11900,17545
mmh,116,3,1,12012,17704
mmh,116,3,1,12124,17871
mmh,116,3,1,12236,18032
mmh,116,3,1,12348,18200
mmh,116,3,1,12460,18367
mmh,116,3,1,12572,18526
mmh,116,3,1,12684,18695
mmh,116,3,1,12796,18855
mmh,116,3,1,12908,19022
mmh,116,3,1,13020,19186
mmh,116,3,1,13132,19346
mmh,116,3,1,13244,19517
mmh,116,3,1,13356,19676
mmh,116,3,1,13468,19844
