module,pi,theta,karatsuba,length,cycles
mmh,116,3,1,6636,9811
mmh,116,3,1,6748,9978
mmh,116,3,1,6860,10144
mmh,116,3,1,6972,10309
mmh,116,3,1,7084,10470
mmh,116,3,1,7196,10635
mmh,116,3,1,7308,10799
mmh,116,3,1,7420,10966
mmh,116,3,1,7532,11127
mmh,116,3,1,7644,11295
mmh,116,3,1,7756,11459
mmh,116,3,1,7868,11624
mmh,116,3,1,7980,11787
mmh,116,3,1,8092,11950
mmh,116,3,1,8204,12118
mmh,116,3,1,8316,12282
mmh,116,3,1,8428,12447
mmh,116,3,1,8540,12608
mmh,116,3,1,8652,12772
mmh,116,3,1,8764,12940
mmh,116,3,1,8876,13099
mmh,116,3,1,8988,13273
mmh,116,3,1,9100,13433
mmh,116,3,1,9212,13597
mmh,116,3,1,9324,13758
mmh,116,3,1,9436,13928
mmh,116,3,1,9548,14085
mmh,116,3,1,9660,14257
mmh,116,3,1,9772,14414
mmh,116,3,1,9884,14584
mmh,116,3,1,9996,14749
mmh,116,3,1,10108,14913
mmh,116,3,1,10220,15077
mmh,116,3,1,10332,15243
mmh,116,3,1,10444,15401
mmh,116,3,1,10556,15569
mmh,116,3,1,10668,15731
mmh,116,3,1,10780,15900
mmh,116,3,1,10892,16057
mmh,116,3,1,11004,16228
mmh,116,3,1,11116,16387
mmh,116,3,1,11228,16556
mmh,116,3,1,11340,16718
mmh,116,3,1,11452,16884
mmh,116,3,1,11564,17044
mmh,116,3,1,11676,17214
mmh,116,3,1,11788,17372
mmh,116,3,1,11900,17542
mmh,116,3,1,12012,17713
mmh,116,3,1,12124,17868
mmh,116,3,1,12236,18031
mmh,116,3,1,12348,18200
mmh,116,3,1,12460,18366
mmh,116,3,1,12572,18524
mmh,116,3,1,12684,18693
mmh,116,3,1,12796,18856
mmh,116,3,1,12908,19020
mmh,116,3,1,13020,19178
mmh,116,3,1,13132,19348
mmh,116,3,1,13244,19508
mmh,116,3,1,13356,19677
mmh,116,3,1,13468,19835
mmh,116,3,1,13580,20007
mmh,116,3,1,13692,20171
mmh,116,3,1,13804,20340
mmh,116,3,1,13916,20499
mmh,116,3,1,14028,20657
mmh,116,3,1,14140,20829
mmh,116,3,1,14252,20994
mmh,116,3,1,14364,21158
mmh,116,3,1,14476,21322
mmh,116,3,1,14588,21488
mmh,116,3,1,14700,21650
mmh,116,3,1,14812,21812
mmh,116,3,1,14924,21977
mmh,116,3,1,15036,22144
mmh,116,3,1,15148,22307
mmh,116,3,1,15260,25524
mmh,116,3,1,15372,25674
mmh,116,3,1,15484,22789
mmh,116,3,1,15596,22961
mmh,116,3,1,15708,23129
mmh,116,3,1,15820,23293
mmh,116,3,1,15932,23458
mmh,226,5,0,140,462
mmh,226,5,0,252,707
mmh,226,5,0,364,970
mmh,226,5,0,476,1237
mmh,226,5,0,588,1496
mmh,226,5,0,700,1755
mmh,226,5,0,812,2019
mmh,226,5,0,924,2281
mmh,226,5,0,1036,2544
mmh,226,5,0,1148,2803
mmh,226,5,0,1260,3053
mmh,226,5,0,1372,3306
mmh,226,5,0,1484,3562
mmh,226,5,0,1596,3813
mmh,226,5,0,1708,4066
mmh,226,5,0,1820,4321
mmh,226,5,0,1932,4576
mmh,226,5,0,2044,4825
mmh,226,5,0,2156,5080
mmh,226,5,0,2268,5332
mmh,226,5,0,2380,5585
mmh,226,5,0,2492,5840
mmh,226,5,0,2604,6092
mmh,226,5,0,2716,6344
mmh,226,5,0,2828,6603
mmh,226,5,0,2940,6858
mmh,226,5,0,3052,7107
mmh,226,5,0,3164,7364
mmh,226,5,0,3276,7614
mmh,226,5,0,3388,7868
mmh,226,5,0,3500,8122
mmh,226,5,0,3612,8375
mmh,226,5,0,3724,8627
mmh,226,5,0,3836,8882
mmh,226,5,0,3948,9137
mmh,226,5,0,4060,9387
mmh,226,5,0,4172,9638
mmh,226,5,0,4284,9890
mmh,226,5,0,4396,10144
mmh,226,5,0,4508,10405
mmh,226,5,0,4620,10657
mmh,226,5,0,4732,10907
mmh,226,5,0,4844,11162
mmh,226,5,0,4956,11416
mmh,226,5,0,5068,11666
mmh,226,5,0,5180,11923
