module,pi,theta,predicted_cycles_per_byte
mmh,116,3,0.9924974888392856
sqh,116,3,0.9344654017857141
nmh,116,3,0.7060570591517856
mmh,226,5,2.326491489955357
sqh,226,5,1.781882672991071
nmh,226,5,1.3968620954241069
